sourceIPAddress,if_anomaly,if_score,lof_anomaly,lof_score,final_anomaly,risk_score
106.191,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.22,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.223,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.250,-1,-0.2045199608873487,1,-1.7788140268641244,1,0.6057731126362536
106.251,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.252,1,0.15040546324386633,1,-1.2701068155954611,0,0.22406136455389583
106.254,-1,-0.0301117072837479,1,-1.0107457910749047,1,0.9081550262414211
106.3,1,0.15245002846372085,1,-2.1310004278266015,0,0.08639483245861929
106.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.60,1,0.2065731502968558,1,-0.9717531064889808,0,0.4832458619297537
106.9,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.110,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.157,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
107.164,-1,-0.04576882511438418,1,-1.082936053211746,1,0.8350827614049253
107.2,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.206,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.214,1,0.06782727100070807,1,-1.0,0,0.4222850222042794
107.219,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.227,1,0.1523134575473365,1,-1.0001779050026711,0,0.4214775938635446
107.231,1,0.16764458665832965,1,-1.0,0,0.4222850222042794
107.234,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.251,1,0.14480580723550773,1,-1.5683395960731368,0,0.13706096083972547
107.43,1,0.21164072338535617,1,-1.0,0,0.4222850222042794
107.53,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
107.73,1,0.07716481571846079,1,-1.0,0,0.4222850222042794
108.1,1,0.06063264955990111,1,-1.0880039725768977,0,0.3288251917642309
108.112,1,0.20781681423841758,1,-1.0,0,0.4222850222042794
108.162,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.209,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.211,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.226,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.233,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.251,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.253,1,0.175811604062641,1,-0.9941419934932313,0,0.4382317319337909
108.3,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.6,1,0.05511292296433756,1,-1.4547214397374704,0,0.1566410981025434
108.7,1,0.179280992571262,1,-1.0,0,0.4222850222042794
108.81,1,0.16758944580851254,1,-1.3455241694930216,0,0.18772708922083164
108.86,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
108.9,1,0.21164072338535617,1,-1.0,0,0.4222850222042794
109.133,1,0.15661386911390862,1,-0.9915902401384964,0,0.44448930157448524
109.141,1,0.09178604153259134,1,-3.2651168022312036,0,0.05934598304400484
109.155,1,0.21015266809274835,1,-1.0352941000734994,0,0.38050060557125553
109.164,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
109.179,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
109.207,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
109.227,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
109.234,1,0.1860287196490218,1,-1.1359680916780552,0,0.2961243439644732
109.252,1,0.21164072338535617,-1,-708836.8491117994,1,0.5048445700444085
109.253,1,0.06690292526901143,1,-1.174858005144086,0,0.27210335082761405
109.254,-1,-0.012945405011341338,1,-1.5873072825778958,1,0.6326201049656843
109.255,1,0.16112682612533075,1,-0.9762297190704553,0,0.47638272103350826
109.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
109.44,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
109.70,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
11.109,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
11.2,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
11.213,1,0.21164072338535617,1,-1.0,0,0.4222850222042794
11.215,1,0.1392197871722311,1,-3.429939834112266,0,0.05672184093661687
11.219,1,0.11715874439684792,-1,-168386.36727365613,1,0.5074687121517966
11.221,1,0.17566583142066616,1,-1.0521085789490487,0,0.36657246669358096
11.228,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
11.247,1,0.07124159770874339,1,-1.4269805166130138,0,0.16289866774323777
11.250,1,0.16624854131060007,1,-1.0,0,0.4222850222042794
